timestamp,volume,open,last_price,low,high
1607479200,367143.41,1.0006,1.0006,1.0005,1.0008
1607482800,382699.94,1.0006,1.0004,1.0002,1.0006
1607486400,169437.78,1.0004,1.0004,1.0003,1.0007
1607490000,298616.54,1.0005,1.0006,1.0004,1.0007
1607493600,28349.17,1.0005,1.0002,1.0002,1.0005
1607497200,365064.95,1.0002,1.0005,1.0002,1.0005
1607500800,207210.0,1.0005,1.0005,1.0004,1.0008
1607504400,410071.94,1.0005,1.0004,1.0003,1.0006
1607508000,586655.78,1.0005,1.0003,1.0002,1.0007
1607511600,242045.06,1.0002,1.0,0.9999,1.0004
1607515200,843570.51,0.9999,0.9997,0.9994,1.0
1607518800,381716.61,0.9998,0.9997,0.9995,0.9999
1607522400,591578.82,0.9997,0.9997,0.9995,0.9998
1607526000,562594.07,0.9997,1.0003,0.9995,1.0003
1607529600,434323.92,1.0004,1.0001,1.0,1.0004
1607533200,809056.79,1.0,1.0002,0.9999,1.0005
1607536800,438201.86,1.0002,1.0001,1.0001,1.003
1607540400,113265.28,1.0003,1.0003,1.0003,1.0004
1607544000,195891.27,1.0003,1.0003,1.0002,1.0004
1607547600,561659.1,1.0003,1.0,0.9999,1.0004
1607551200,317864.09,1.0,0.9998,0.9998,1.0001
1607554800,90213.0,0.9998,0.9997,0.9996,0.9998
1607558400,121891.74,0.9997,0.9998,0.9996,0.9998
1607562000,301064.14,0.9999,0.9999,0.9998,1.0001
1607565600,379995.34,0.9999,1.0002,0.9997,1.0002
1607569200,63972.09,1.0,0.9998,0.9998,1.0001
1607572800,376186.01,0.9999,1.0,0.9998,1.0001
1607576400,93739.01,1.0,0.9998,0.9998,1.0001
1607580000,277012.47,0.9998,0.9999,0.9997,0.9999
1607583600,241809.25,0.9999,0.9999,0.9998,0.9999
1607587200,131244.04,0.9999,0.9998,0.9997,0.9999
1607590800,140623.12,0.9998,1.0001,0.9997,1.0002
1607594400,144355.12,1.0001,1.0002,1.0,1.0004
1607598000,130949.0,1.0003,1.0002,1.0002,1.0004
1607601600,72466.45,1.0002,1.0001,1.0,1.0003
1607605200,328257.78,1.0001,1.0002,1.0001,1.0005
1607608800,291268.09,1.0003,1.0004,1.0002,1.0006
1607612400,571959.28,1.0004,1.0002,1.0001,1.0005
1607616000,212368.55,1.0001,1.0004,1.0001,1.0004
1607619600,371686.48,1.0004,1.0006,1.0003,1.0008
1607623200,220381.5,1.0006,1.0003,1.0003,1.0006
1607626800,721500.24,1.0003,1.0003,0.9998,1.0005
1607630400,257531.31,1.0003,1.0,0.9999,1.0003
1607634000,269433.27,1.0,1.0,0.9998,1.0
1607637600,108150.13,1.0,1.0,0.9998,1.0
1607641200,159930.55,1.0,1.0001,0.9999,1.0002
1607644800,387218.64,1.0002,1.0003,1.0001,1.0005
1607648400,155712.63,1.0003,1.0005,1.0003,1.0005
1607652000,249344.56,1.0005,1.0003,1.0002,1.0006
1607655600,196813.94,1.0004,1.0003,1.0002,1.0005
1607659200,108451.95,1.0003,1.0003,1.0002,1.0004
1607662800,134362.75,1.0003,1.0004,1.0003,1.0004
1607666400,443211.32,1.0004,1.0003,1.0002,1.0005
1607670000,417366.84,1.0003,1.0005,1.0003,1.0006
1607673600,385605.46,1.0005,1.0004,1.0003,1.0007
1607677200,246869.65,1.0004,1.0004,1.0004,1.0006
1607680800,226048.49,1.0004,1.0009,1.0001,1.0009
1607684400,167335.44,1.0007,1.0007,1.0007,1.0009
1607688000,177540.65,1.0007,1.0005,1.0004,1.0007
1607691600,121073.88,1.0005,1.0003,1.0001,1.0005
1607695200,410092.64,1.0003,1.0004,1.0,1.0005
1607698800,274884.89,1.0004,1.0,1.0,1.0004
1607702400,189859.01,1.0001,1.0,0.9999,1.0002
1607706000,74244.04,1.0,1.0003,1.0,1.0003
1607709600,120800.83,1.0004,1.0003,1.0003,1.0004
1607713200,346018.12,1.0003,1.0002,1.0001,1.0004
1607716800,123513.0,1.0001,1.0003,1.0001,1.0004
1607720400,90952.21,1.0003,1.0001,1.0001,1.0003
1607724000,206857.22,1.0002,1.0001,1.0001,1.0004
1607727600,153723.94,1.0,0.9999,0.9998,1.0001
1607731200,227161.55,1.0001,1.0,0.9998,1.0002
1607734800,232935.09,1.0,0.9998,0.9997,1.0
1607738400,145625.88,0.9998,0.9998,0.9996,0.9998
1607742000,187649.73,0.9998,0.9998,0.9996,0.9998
1607745600,114144.81,0.9998,0.9999,0.9997,0.9999
1607749200,45926.36,1.0,0.9997,0.9997,1.0
1607752800,36977.38,0.9997,0.9998,0.9997,0.9998
1607756400,217926.74,0.9998,0.9998,0.9996,0.9998
1607760000,163260.52,0.9998,0.9999,0.9997,0.9999
1607763600,53343.46,0.9997,0.9999,0.9997,1.0
1607767200,299191.69,0.9999,0.9999,0.9998,1.0002
1607770800,124417.3,1.0,1.0,0.9999,1.0
